iteration,theta_1,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
4500,1000.0,1.5922253,0.0002060332,1.6952419,0.11935526,1.5929486,0.014102578,0.011749945,44.189748764038086
4600,1000.0,1.5921044,1.1680505e-06,1.5926884,0.11010431,1.5921353,0.013584733,0.0015537305,45.08006715774536
4700,1000.0,1.5917702,1.1798302e-06,1.5923601,0.10981474,1.5917631,0.013347864,0.0011256535,46.075480461120605
4800,1000.0,1.5915186,1.2585951e-06,1.592148,0.11045591,1.5914792,0.013167143,0.0014970977,47.05993962287903
4900,1000.0,1.591425,1.1700917e-06,1.59201,0.1102365,1.5914419,0.013143301,0.0009055095,47.99263119697571
5000,1000.0,1.590918,1.1752569e-06,1.5915055,0.11000279,1.5908654,0.012776375,0.0012560692,48.92476773262024
5100,1000.0,1.5908813,1.315916e-06,1.5915393,0.11171791,1.5909235,0.01281333,0.0015488592,49.870043992996216
5200,1000.0,1.590246,1.1693412e-06,1.5908307,0.11060867,1.590253,0.012386441,0.0015330488,50.78500437736511
5300,1000.0,1.5902647,1.275537e-06,1.5909024,0.110456705,1.5902646,0.012393832,0.0012828101,51.90070295333862
5400,1000.0,1.5901155,1.1882316e-06,1.5907097,0.111058906,1.5900805,0.0122766495,0.0011145496,53.09995484352112
5500,1000.0,1.5901165,1.1683592e-06,1.5907006,0.11021913,1.5900913,0.012283564,0.0010465371,54.100154876708984
5600,1000.0,1.5900018,1.3789993e-06,1.5906913,0.11048604,1.5900209,0.012238741,0.0012788421,55.079939126968384
5700,1000.0,1.5899261,1.1617623e-06,1.590507,0.11024734,1.5899374,0.012185574,0.00095871853,56.14020085334778
5800,1000.0,1.5897446,7.6035176e-06,1.5935463,0.10912682,1.589546,0.011936307,0.0026993663,57.10995411872864
5900,1000.0,1.5893639,1.1614457e-06,1.5899446,0.110312626,1.5893819,0.01183188,0.0014940974,57.98004221916199
6000,1000.0,1.5898753,0.0002630937,1.7214222,0.099960014,1.588365,0.011184454,0.013662938,59.12642216682434
6100,1000.0,1.5889394,1.1601104e-06,1.5895195,0.11120084,1.5889109,0.011532068,0.001283755,60.30734372138977
6200,1000.0,1.5883478,1.1601262e-06,1.5889279,0.11083593,1.588374,0.011190295,0.0011057485,61.267011642456055
6300,1000.0,1.5882246,1.1847746e-06,1.588817,0.11123497,1.5882131,0.011087775,0.0013981198,62.22706317901611
6400,1000.0,1.587949,1.1518846e-06,1.5885249,0.11091157,1.5879565,0.0109244585,0.0014232359,63.16709065437317
6500,1000.0,1.5874972,5.4222117e-05,1.6146083,0.11749907,1.5885022,0.011271834,0.007089192,64.08675909042358
6600,1000.0,1.5878471,1.1633953e-06,1.5884289,0.11130177,1.5879036,0.0108908415,0.0011799877,65.02727365493774
6700,1000.0,1.5875814,1.1588277e-06,1.5881608,0.11116313,1.5875196,0.010646343,0.0009729117,65.91690945625305
6800,1000.0,1.5874898,1.1867146e-06,1.5880831,0.11176173,1.5874029,0.010572076,0.0016509866,66.8469705581665
6900,1000.0,1.5871748,1.1524818e-06,1.587751,0.11160493,1.5871946,0.010439396,0.0018581456,67.75694847106934
7000,1000.0,1.5871433,1.2788952e-06,1.5877827,0.110975854,1.5871258,0.010395646,0.00169754,68.70697569847107
7100,1000.0,1.5871091,1.2015558e-06,1.5877099,0.11224341,1.5871068,0.010383606,0.0012388312,69.57699704170227
7200,1000.0,1.586907,1.1487956e-06,1.5874814,0.11200172,1.5869223,0.010266066,0.00097566366,70.56672668457031
7300,1000.0,1.5869966,1.3678156e-06,1.5876805,0.11293406,1.5868796,0.010238886,0.0013440275,71.48698306083679
7400,1000.0,1.586819,1.1480721e-06,1.587393,0.111700915,1.5868468,0.010218024,0.0011241707,72.42692613601685
7500,1000.0,1.5865571,2.6479272e-06,1.5878811,0.112531364,1.5867847,0.010178447,0.0010128784,73.35201668739319
7600,1000.0,1.5864516,1.1494288e-06,1.5870264,0.11189185,1.5864806,0.009984851,0.0009019537,74.2867214679718
7700,1000.0,1.5860379,1.6190825e-05,1.5941333,0.113390476,1.5864043,0.009936333,0.0015972549,75.27681231498718
7800,1000.0,1.5860411,1.144886e-06,1.5866135,0.11228789,1.5860543,0.009713531,0.0019492317,76.25951313972473
7900,1000.0,1.5864292,1.0366125e-05,1.5916123,0.109125435,1.5858554,0.009586811,0.0040393425,77.19696831703186
8000,1000.0,1.5859859,1.1461855e-06,1.5865589,0.11283334,1.585957,0.009651542,0.0010309062,78.13672590255737
8100,1000.0,1.5857176,1.1454017e-06,1.5862902,0.1126086,1.5857397,0.009513259,0.0010623449,79.09694123268127
8200,1000.0,1.5857158,2.6147559e-06,1.5870231,0.11440992,1.585836,0.0095745325,0.0016715025,80.03704476356506
8300,1000.0,1.5856183,1.143007e-06,1.5861897,0.11340906,1.5855947,0.009420872,0.0011054614,80.97708940505981
8400,1000.0,1.5859702,8.569173e-05,1.628816,0.10408914,1.5843331,0.008617759,0.010384706,81.91704034805298
8500,1000.0,1.5852159,1.14253e-06,1.5857872,0.11394182,1.5851939,0.009165764,0.0010445921,82.91683435440063
8600,1000.0,1.5850335,1.1394754e-06,1.5856032,0.113408424,1.5850248,0.009058118,0.0012600315,83.84020161628723
8700,1000.0,1.5847833,2.9949315e-06,1.5862808,0.11609303,1.5851333,0.00912714,0.002077905,84.74697256088257
8800,1000.0,1.5846969,1.1452222e-06,1.5852695,0.11438505,1.584707,0.00885582,0.0014826013,85.67698001861572
8900,1000.0,1.5845433,1.1134364e-05,1.5901105,0.12122231,1.5855062,0.009364605,0.009361579,86.66695547103882
9000,1000.0,1.5846808,1.1315997e-06,1.5852466,0.11524918,1.5846901,0.008844972,0.00053889945,87.57887554168701
9100,1000.0,1.5847155,1.1387655e-06,1.5852848,0.114503674,1.5847561,0.008887053,0.00070528244,88.53063082695007
9200,1000.0,1.5849106,9.6244485e-06,1.5897229,0.115678065,1.5846996,0.008851051,0.0012727103,89.52696180343628
