iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
5200,1.0,3.1415927,0.0,3.1415927,8.685831e-05,3.1415927,0.0,0.0,8.903979778289795
5300,1.0,3.1415927,0.0,3.1415927,0.0001059586,3.1415927,0.0,0.0,9.047455310821533
5400,1.0,3.1415927,0.0,3.1415927,0.000112520705,3.1415927,0.0,0.0,9.191411972045898
5500,1.0,3.1415927,0.0,3.1415927,0.00011109129,3.1415927,0.0,0.0,9.335684061050415
5600,1.0,3.1415927,0.0,3.1415927,0.0001119222,3.1415927,0.0,0.0,9.486112117767334
5700,1.0,3.1415927,0.0,3.1415927,0.00010352647,3.1415927,0.0,0.0,9.656259059906006
5800,1.0,3.1415927,0.0,3.1415927,0.00010072346,3.1415927,0.0,0.0,9.808746099472046
5900,1.0,3.1415927,0.0,3.1415927,0.0001141207,3.1415927,0.0,0.0,9.953999757766724
6000,1.0,3.1415927,0.0,3.1415927,0.00012898735,3.1415927,0.0,0.0,10.099782466888428
6100,1.0,3.1415927,0.0,3.1415927,0.00015685945,3.1415927,0.0,0.0,10.249282121658325
6200,1.0,3.1415927,0.0,3.1415927,0.00016606327,3.1415927,0.0,0.0,10.393446207046509
6300,1.0,3.1415927,0.0,3.1415927,0.00015210024,3.1415927,0.0,0.0,10.54823088645935
6400,1.0,3.1415927,0.0,3.1415927,0.00016891818,3.1415927,0.0,0.0,10.720272779464722
6500,1.0,3.1415927,0.0,3.1415927,0.00015710854,3.1415927,0.0,0.0,10.898043632507324
6600,1.0,3.1415927,0.0,3.1415927,0.00020095153,3.1415927,0.0,0.0,11.068889141082764
6700,1.0,3.1415927,0.0,3.1415927,0.00019912758,3.1415927,0.0,0.0,11.210134029388428
6800,1.0,3.1415927,0.0,3.1415927,0.0001945374,3.1415927,0.0,0.0,11.354722261428833
6900,1.0,3.1415927,0.0,3.1415927,0.00019059867,3.1415927,0.0,0.0,11.49181604385376
7000,1.0,3.1415927,0.0,3.1415927,0.00017564527,3.1415927,0.0,0.0,11.629427433013916
7100,1.0,3.1415927,0.0,3.1415927,0.00018192086,3.1415927,0.0,0.0,11.771605014801025
7200,1.0,3.1415927,0.0,3.1415927,0.000180341,3.1415927,0.0,0.0,11.911544561386108
7300,1.0,3.1415927,0.0,3.1415927,0.00019396331,3.1415927,0.0,0.0,12.052736043930054
7400,1.0,3.1415927,0.0,3.1415927,0.00016572916,3.1415927,0.0,0.0,12.186925888061523
7500,1.0,3.1415927,0.0,3.1415927,0.00017598635,3.1415927,0.0,0.0,12.325418472290039
7600,1.0,3.1415927,0.0,3.1415927,0.00014516144,3.1415927,0.0,0.0,12.462256908416748
7700,1.0,3.1415927,0.0,3.1415927,0.00015618646,3.1415927,0.0,0.0,12.597903728485107
7800,1.0,3.1415927,0.0,3.1415927,0.00013674906,3.1415927,0.0,0.0,12.737913370132446
7900,1.0,3.1415927,0.0,3.1415927,0.00012300265,3.1415927,0.0,0.0,12.875114440917969
8000,1.0,3.1415927,0.0,3.1415927,0.00012903244,3.1415927,0.0,0.0,13.024204730987549
8100,1.0,3.1415927,0.0,3.1415927,0.0001417545,3.1415927,0.0,0.0,13.178439140319824
8200,1.0,3.1415927,0.0,3.1415927,0.00015788963,3.1415927,0.0,0.0,13.334792852401733
8300,1.0,3.1415927,0.0,3.1415927,0.000121980294,3.1415927,0.0,0.0,13.485658168792725
8400,1.0,3.1415927,0.0,3.1415927,0.00012686194,3.1415927,0.0,0.0,13.636311054229736
8500,1.0,3.1415927,0.0,3.1415927,0.00011443535,3.1415927,0.0,0.0,13.794365882873535
8600,1.0,3.1415927,0.0,3.1415927,0.000108220374,3.1415927,0.0,0.0,13.9511399269104
8700,1.0,3.1415927,0.0,3.1415927,0.00010130203,3.1415927,0.0,0.0,14.106989860534668
8800,1.0,3.1415927,0.0,3.1415927,9.8087265e-05,3.1415927,0.0,0.0,14.246928453445435
8900,1.0,3.1415927,0.0,3.1415927,9.80656e-05,3.1415927,0.0,0.0,14.392147541046143
9000,1.0,3.1415927,0.0,3.1415927,9.501237e-05,3.1415927,0.0,0.0,14.543591737747192
9100,1.0,3.1415927,0.0,3.1415927,9.6232776e-05,3.1415927,0.0,0.0,14.698911666870117
9200,1.0,3.1415927,0.0,3.1415927,9.0338086e-05,3.1415927,0.0,0.0,14.847185134887695
9300,1.0,3.1415927,0.0,3.1415927,8.737649e-05,3.1415927,0.0,0.0,14.990017890930176
9400,1.0,3.1415927,0.0,3.1415927,9.5537194e-05,3.1415927,0.0,0.0,15.135692596435547
9500,1.0,3.1415927,0.0,3.1415927,9.760167e-05,3.1415927,0.0,0.0,15.288586139678955
9600,1.0,3.1415927,0.0,3.1415927,0.00010057313,3.1415927,0.0,0.0,15.437402486801147
9700,1.0,3.1415927,0.0,3.1415927,0.00010317514,3.1415927,0.0,0.0,15.582411050796509
9800,1.0,3.1415927,0.0,3.1415927,0.00010404886,3.1415927,0.0,0.0,15.72520112991333
9900,1.0,3.1415927,0.0,3.1415927,9.845683e-05,3.1415927,0.0,0.0,15.862141609191895
10000,1.0,3.1415927,0.0,3.1415927,9.925983e-05,3.1415927,0.0,0.0,16.014402627944946
