iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
0,1.0,1.6597731,48.46769,25.893618,4.7554693,1.6594411,-0.016058683,6.695771,1.3100483417510986
100,101.0,3.640326,0.12222438,9.812657,0.14189944,3.650676,1.1646149,0.3460261,1.7899525165557861
200,101.0,4.477537,0.008467432,4.9051423,0.037581105,4.482569,1.6578736,0.09068224,2.0200042724609375
300,101.0,4.6682143,0.0012562725,4.731656,0.015084467,4.668386,1.7680511,0.035382394,2.2574381828308105
400,101.0,4.671081,0.0011581302,4.7295666,0.014486791,4.6710887,1.7696536,0.03409937,2.4969682693481445
500,101.0,4.6685157,0.00113528,4.7258472,0.014447629,4.6684337,1.7680793,0.03370203,2.735117197036743
600,101.0,4.6652365,0.0011494063,4.7232814,0.014527164,4.6652293,1.7661793,0.034039486,2.94999623298645
700,101.0,4.661965,0.001135036,4.719284,0.014669867,4.661965,1.7642438,0.033704467,3.1999967098236084
800,101.0,4.6586523,0.0011255209,4.7154913,0.014790111,4.6585646,1.7622275,0.033589873,3.459959030151367
900,101.0,4.6545997,0.0011381623,4.7120767,0.015100028,4.654599,1.7598765,0.033782564,3.690131902694702
1000,101.0,0.465062,0.0011498175,0.5231278,0.015108985,4.6511974,1.7578595,0.033683255,3.930126905441284
1100,101.0,0.47538623,1.2808433e-05,0.47603306,0.005982692,4.753869,1.818737,0.0035957792,4.1599485874176025
1200,101.0,0.47526336,1.1997958e-05,0.47586927,0.005970014,4.752638,1.818007,0.0034596731,4.369920015335083
1300,101.0,0.4753171,1.386911e-05,0.47601748,0.005881112,4.7531953,1.8183374,0.0036959657,4.599912405014038
1400,101.0,0.4752911,1.0755827e-05,0.47583428,0.0060556536,4.7529263,1.8181779,0.0033703167,4.849900484085083
1500,101.0,0.4752167,1.1337685e-05,0.47578925,0.0062346794,4.752144,1.817714,0.0033797037,5.079994440078735
1600,101.0,0.47518316,9.904277e-06,0.47568333,0.006266527,4.7518125,1.8175175,0.0032300728,5.319921970367432
1700,101.0,0.47504234,1.0057441e-05,0.47555023,0.0064708623,4.750419,1.8166914,0.0032505505,5.549960374832153
1800,101.0,0.47492886,1.2683229e-05,0.47556937,0.0066709276,4.74935,1.8160574,0.0035305046,5.769964933395386
1900,101.0,0.47497874,1.0568664e-05,0.47551247,0.0066376547,4.749762,1.8163018,0.0031654285,5.999997615814209
2000,101.0,0.474789,1.2864717e-05,0.47543865,0.006854791,4.7479563,1.8152311,0.0035922925,6.229925870895386
2100,101.0,0.47476745,1.1220448e-05,0.47533408,0.0068822755,4.747667,1.8150594,0.003333779,6.495141983032227
2200,101.0,0.47465515,1.276798e-05,0.47529992,0.0071402304,4.7466073,1.8144312,0.0033665756,6.756479501724243
2300,101.0,0.47461516,1.0865357e-05,0.47516385,0.0070471447,4.7461677,1.8141706,0.0032461341,7.009974956512451
2400,101.0,0.47440934,1.42307545e-05,0.475128,0.0074295574,4.7440796,1.8129325,0.003588048,7.239962577819824
2500,101.0,0.47442374,1.0093521e-05,0.47493345,0.0076181553,4.7442183,1.8130147,0.0031096744,7.489941596984863
2600,101.0,0.47428766,1.28253005e-05,0.47493532,0.007850464,4.742917,1.8122432,0.0036294179,7.721717119216919
2700,101.0,0.47421685,1.0549613e-05,0.4747496,0.007973754,4.7421227,1.8117721,0.003458643,7.9601335525512695
2800,101.0,0.47411394,1.178724e-05,0.47470918,0.00844715,4.741125,1.8111806,0.0034492072,8.189996480941772
2900,101.0,0.47406417,9.852391e-06,0.47456172,0.008624953,4.740643,1.8108947,0.003072504,8.439933776855469
3000,101.0,0.47388074,1.084089e-05,0.4744282,0.008541322,4.7388153,1.8098111,0.0034973193,8.67539644241333
3100,101.0,0.47384128,1.049833e-05,0.47437143,0.008960879,4.7384076,1.8095694,0.0033930563,8.889962196350098
3200,101.0,0.4736223,1.1865676e-05,0.4742215,0.009313677,4.7362137,1.8082685,0.003423882,9.120135307312012
3300,101.0,0.47365013,8.772577e-06,0.47409314,0.009583906,4.736465,1.8084176,0.0029286225,9.350041389465332
3400,101.0,0.4735159,1.0786602e-05,0.47406062,0.00986862,4.735052,1.8075798,0.0030529748,9.570148944854736
3500,101.0,0.47333622,1.00955895e-05,0.47384605,0.010119567,4.7333636,1.8065786,0.0031693277,9.81995677947998
3600,101.0,0.47318274,9.265946e-06,0.47365066,0.010427954,4.731839,1.8056748,0.0030891497,10.050104141235352
3700,101.0,0.473111,1.0512268e-05,0.47364187,0.011021937,4.7310905,1.8052309,0.0031939342,10.285617351531982
3800,101.0,0.47284174,1.2424404e-05,0.47346917,0.011167639,4.728393,1.8036313,0.0035589829,10.523952007293701
3900,101.0,0.47278738,1.2320319e-05,0.47340956,0.0115855485,4.727932,1.8033581,0.0034420064,10.77992033958435
4000,101.0,0.47255102,1.3481426e-05,0.47323182,0.011784212,4.7254844,1.8019068,0.0035870143,11.029937982559204
4100,101.0,0.47254354,1.0221382e-05,0.4730597,0.012014589,4.725532,1.801935,0.0032161693,11.259961128234863
4200,101.0,0.47226167,1.0108436e-05,0.47277215,0.012274351,4.7224207,1.8000901,0.0033874707,11.529929161071777
4300,101.0,0.47228336,1.0406876e-05,0.4728089,0.012951836,4.722817,1.8003252,0.0030601262,11.796953678131104
4400,101.0,0.47193915,1.1769879e-05,0.47253352,0.01382818,4.719381,1.7982876,0.0034156293,12.039921283721924
4500,101.0,0.47173557,1.4079911e-05,0.4724466,0.013838696,4.7170463,1.7969034,0.0036994764,12.300080299377441
4600,101.0,0.47149998,1.28841575e-05,0.47215062,0.014413951,4.7147675,1.7955523,0.0036979394,12.549936056137085
4700,101.0,0.47137734,1.3738637e-05,0.47207114,0.01411353,4.7139707,1.79508,0.0035680532,12.81801176071167
4800,101.0,0.4711717,1.1439233e-05,0.4717494,0.014701746,4.7117767,1.7937789,0.0034142737,13.073500394821167
4900,101.0,0.4709243,1.03379825e-05,0.47144637,0.01531769,4.7093725,1.7923534,0.0035164042,13.329975843429565
5000,101.0,0.47082072,1.1198794e-05,0.47138625,0.015929068,4.708356,1.7917507,0.0033072503,13.58189058303833
5100,101.0,0.4706858,1.36954795e-05,0.47137743,0.015680477,4.707305,1.7911274,0.003524468,13.83752989768982
5200,101.0,0.4703187,1.0377649e-05,0.47084278,0.017311241,4.7030344,1.7885954,0.003542171,14.114528179168701
5300,101.0,0.47023916,1.21072235e-05,0.4708506,0.018574145,4.701683,1.7877941,0.0037781517,14.389956712722778
5400,101.0,0.47006175,1.3828839e-05,0.4707601,0.018280182,4.7003217,1.7869868,0.0032389164,14.67998194694519
5500,101.0,0.46968827,1.4481644e-05,0.4704196,0.018173262,4.697475,1.7852991,0.0035272765,14.930149555206299
5600,101.0,0.46943197,1.3329227e-05,0.47010508,0.018368464,4.6948323,1.7837319,0.003876934,15.169981241226196
5700,101.0,0.46921688,1.5046116e-05,0.46997672,0.01963718,4.692026,1.7820683,0.0038652106,15.42195749282837
5800,101.0,0.4690802,1.117686e-05,0.46964464,0.020845134,4.690494,1.7811596,0.003642737,15.69315767288208
5900,101.0,0.4687596,1.275757e-05,0.46940386,0.019985404,4.6880503,1.7797108,0.003991151,15.949977159500122
6000,101.0,0.4684329,2.3944678e-05,0.4696421,0.020635175,4.685302,1.7780809,0.0039378824,16.20196795463562
6100,101.0,0.4684835,1.1785739e-05,0.4690787,0.024324626,4.6833696,1.7769353,0.0048466935,16.46001958847046
6200,101.0,0.46804604,1.967623e-05,0.46903968,0.020818034,4.681646,1.7759132,0.0042965277,16.69997787475586
6300,101.0,0.46808663,3.978973e-05,0.47009602,0.02512024,4.67852,1.77406,0.005186788,16.949949264526367
6400,101.0,0.46768117,1.4568309e-05,0.46841687,0.024852028,4.6766396,1.7729449,0.0043741874,17.18996024131775
6500,101.0,0.46732965,9.4633375e-05,0.47210863,0.021074707,4.676891,1.7730939,0.005764953,17.42001485824585
6600,101.0,0.46740866,1.2920137e-05,0.46806112,0.025754439,4.673171,1.7708883,0.0041166972,17.680118322372437
6700,101.0,0.46711573,1.2597351e-05,0.4677519,0.024870345,4.6716046,1.7699594,0.0034236435,17.940009593963623
6800,101.0,0.46662712,6.627067e-05,0.4699738,0.020454334,4.670854,1.7695146,0.008995498,18.179993152618408
6900,101.0,0.46706548,0.00023680716,0.47902423,0.03811029,4.661121,1.7637434,0.019116525,18.429917573928833
7000,101.0,0.4666874,2.4043673e-05,0.46790162,0.028243545,4.6648664,1.7659643,0.0047225356,18.6699538230896
7100,101.0,0.46644327,1.4583475e-05,0.46717975,0.028737908,4.6630497,1.7648871,0.004626846,18.899941205978394
7200,101.0,0.46623918,1.2210515e-05,0.46685582,0.02769556,4.6621523,1.764355,0.0035398558,19.139986753463745
7300,101.0,0.46591684,4.4581095e-05,0.4681682,0.024690608,4.662611,1.764627,0.0059865452,19.379952669143677
7400,101.0,0.4658012,2.2023158e-05,0.46691337,0.027156064,4.659301,1.7626641,0.0036115842,19.619935750961304
7500,101.0,0.4656241,1.7594853e-05,0.46651262,0.027062017,4.65801,1.7618988,0.004483908,19.850000143051147
7600,101.0,0.46545273,3.148954e-05,0.46704295,0.027107466,4.656954,1.7612724,0.004474331,20.07196283340454
7700,101.0,0.46536046,2.5897123e-05,0.46666828,0.025761358,4.656518,1.7610142,0.0068680607,20.309967279434204
7800,101.0,0.46530524,1.1372464e-05,0.46587956,0.029808467,4.6530647,1.7589664,0.0034953123,20.53016710281372
7900,101.0,0.4650165,3.9773913e-05,0.4670251,0.028814323,4.652871,1.7588518,0.0038122777,20.769967079162598
8000,101.0,0.4650331,1.4439865e-05,0.46576232,0.032153316,4.648863,1.7564752,0.0042735236,21.009931087493896
8100,101.0,0.46508908,6.334065e-05,0.4682878,0.03341255,4.6470203,1.7553825,0.005312625,21.24003791809082
8200,101.0,0.46474004,1.5957896e-05,0.46554592,0.028022835,4.6497083,1.7569764,0.0057907733,21.47597861289978
8300,101.0,0.46454382,1.1454453e-05,0.46512228,0.031478677,4.646028,1.7547944,0.0032756699,21.714935302734375
8400,101.0,0.46435484,2.5254372e-05,0.4656302,0.028993804,4.6460457,1.7548046,0.0053498796,21.975043773651123
8500,101.0,0.46424314,1.2296774e-05,0.46486413,0.033907466,4.642029,1.752423,0.004213202,22.240957260131836
8600,101.0,0.4639876,2.1061553e-05,0.4650512,0.03749506,4.638471,1.7503135,0.008236621,22.519944429397583
8700,101.0,0.46408835,1.2268681e-05,0.4647079,0.033069026,4.6405325,1.7515357,0.0035318288,22.781513929367065
8800,101.0,0.4638869,1.2224854e-05,0.46450424,0.035211865,4.638097,1.7500916,0.004669362,23.040928602218628
8900,101.0,0.4636827,1.5127277e-05,0.46444663,0.0313134,4.638761,1.7504854,0.005274422,23.279925107955933
9000,101.0,0.46331024,0.00012759355,0.4697537,0.027670478,4.640314,1.7514062,0.010960665,23.519984483718872
9100,101.0,0.46359158,2.056426e-05,0.46463007,0.033918217,4.6352143,1.7483823,0.0036377376,23.77995204925537
9200,101.0,0.4637208,7.152626e-05,0.46733287,0.039966803,4.6317134,1.7463067,0.009013539,24.023964405059814
9300,101.0,0.46314493,2.123327e-05,0.46421722,0.034769222,4.6328506,1.7469809,0.0033596777,24.26148271560669
9400,101.0,0.46320173,1.5627531e-05,0.46399093,0.037738405,4.6300955,1.7453473,0.005492471,24.501920223236084
9500,101.0,0.46292946,1.4185157e-05,0.46364582,0.03590357,4.6298914,1.7452264,0.0033727721,24.72995162010193
9600,101.0,0.46310362,4.06028e-05,0.46515405,0.04048433,4.6267657,1.7433729,0.007833109,24.962947607040405
9700,101.0,0.4627373,1.1194719e-05,0.4633026,0.036847588,4.626917,1.7434626,0.0037427,25.19992423057556
9800,101.0,0.46217996,0.00025252608,0.47493252,0.02944219,4.6314206,1.7461331,0.011823263,25.424922704696655
9900,101.0,0.46270925,1.53386e-05,0.46348384,0.038826726,4.6253147,1.7425127,0.004636308,25.65991735458374
10000,101.0,0.46216384,0.00010147392,0.46728826,0.03206233,4.6279297,1.7440631,0.009166268,25.910005569458008
10100,101.0,0.46219578,1.2496226e-05,0.46282685,0.037687786,4.6221,1.7406063,0.0034768884,26.1429603099823
10200,101.0,0.46239215,1.0678265e-05,0.4629314,0.038621414,4.6225142,1.7408521,0.0035008916,26.389984130859375
10300,101.0,0.4621094,1.6367068e-05,0.46293592,0.041694935,4.618264,1.738332,0.00662599,26.620142936706543
10400,101.0,0.46191603,4.2424064e-05,0.46405846,0.034203988,4.623199,1.7412581,0.006974051,26.86244225502014
10500,101.0,0.46203613,4.923073e-05,0.46452227,0.042075276,4.61626,1.7371438,0.006619464,27.099992036819458
10600,101.0,0.46243677,0.00031056462,0.47812027,0.048232265,4.6125793,1.7349613,0.015218302,27.339967489242554
10700,101.0,0.46175167,9.6300955e-06,0.46223798,0.03887725,4.617367,1.7377999,0.0031105154,27.589919805526733
10800,101.0,0.4618178,4.92705e-05,0.46430597,0.049035635,4.610291,1.7336044,0.015930215,27.81992816925049
10900,101.0,0.4616111,1.9009767e-05,0.46257108,0.042436544,4.613446,1.7354753,0.005657074,28.080098152160645
11000,101.0,0.46107593,6.449306e-05,0.46433282,0.03604834,4.6159735,1.7369738,0.007379378,28.319992065429688
11100,101.0,0.46061474,0.00031235602,0.47638872,0.03439251,4.615995,1.7369866,0.009824404,28.560153007507324
11200,101.0,0.4610146,2.0322752e-05,0.4620409,0.040170636,4.611283,1.7341926,0.0031522072,28.79992413520813
11300,101.0,0.46099636,1.2870122e-05,0.4616463,0.04184332,4.6093206,1.7330291,0.0036332249,29.02997875213623
11400,101.0,0.46090102,1.1950566e-05,0.46150452,0.04000421,4.610252,1.7335813,0.003647047,29.263155937194824
11500,101.0,0.46108395,6.6568515e-05,0.46444565,0.047200825,4.6048455,1.7303758,0.009592388,29.493624687194824
11600,101.0,0.46031576,0.00011915994,0.46633333,0.035975482,4.610389,1.7336628,0.009369504,29.740152597427368
11700,101.0,0.4600577,0.00027453076,0.4739215,0.03247458,4.612294,1.7347922,0.016043702,29.9719877243042
11800,101.0,0.4602882,5.054487e-05,0.4628407,0.039738588,4.6063347,1.7312586,0.0048278663,30.19993019104004
11900,101.0,0.46028638,2.1545811e-05,0.46137443,0.040685102,4.6049256,1.7304232,0.0041103433,30.439937353134155
12000,101.0,0.46068397,0.000103412545,0.4659063,0.047836524,4.600431,1.7277582,0.00916146,30.679982662200928
12100,101.0,0.46028265,1.519606e-05,0.46105006,0.043708146,4.601519,1.7284033,0.0039290264,30.909908533096313
12200,101.0,0.4605063,0.00014677561,0.46791846,0.050539687,4.596544,1.7254534,0.011897022,31.144005060195923
12300,101.0,0.46019718,3.4320707e-05,0.46193036,0.046906967,4.598129,1.7263932,0.006559844,31.369985342025757
12400,101.0,0.46000716,1.1585498e-05,0.46059224,0.043137506,4.6000743,1.7275467,0.003442307,31.606931924819946
12500,101.0,0.45992285,1.18130865e-05,0.4605194,0.045811616,4.5974965,1.7260182,0.004479906,31.849936485290527
12600,101.0,0.45962068,2.1668538e-05,0.46071494,0.043704543,4.5978384,1.7262208,0.0035800354,32.089977979660034
12700,101.0,0.45984855,3.651726e-05,0.46169266,0.047587525,4.5947046,1.7243629,0.005992374,32.32296943664551
12800,101.0,0.45958987,1.7910377e-05,0.46049434,0.04629768,4.593722,1.7237802,0.004092882,32.5619797706604
12900,101.0,0.4595221,1.3139843e-05,0.46018565,0.046897437,4.5933995,1.723589,0.004520823,32.7909517288208
13000,101.0,0.45937806,9.891993e-06,0.4598776,0.04619622,4.592789,1.723227,0.0030644815,33.029924631118774
13100,101.0,0.45978123,0.00033627692,0.47676322,0.05536037,4.5851583,1.7187026,0.016000299,33.27007722854614
13200,101.0,0.4591136,1.1958278e-05,0.45971748,0.04557263,4.591741,1.7226057,0.0031064304,33.50997757911682
13300,101.0,0.45916414,2.6325533e-05,0.4604936,0.049435347,4.5881376,1.720469,0.006051901,33.749980211257935
13400,101.0,0.45860076,7.968128e-05,0.46262467,0.041282594,4.5921674,1.7228584,0.008911917,33.99994611740112
13500,101.0,0.45893192,1.8266259e-05,0.45985436,0.047906548,4.5873265,1.7199881,0.0040241526,34.237905502319336
13600,101.0,0.4587346,1.1313857e-05,0.45930594,0.046543013,4.5877037,1.7202117,0.003135818,34.46544361114502
13700,101.0,0.4584073,1.6791158e-05,0.45925528,0.04698884,4.5856495,1.7189937,0.0034832214,34.70994257926941
13800,101.0,0.45827866,1.7182423e-05,0.45914638,0.04611112,4.5848966,1.7185473,0.003876648,34.93996620178223
13900,101.0,0.45812112,6.437919e-05,0.46137226,0.043652635,4.5868545,1.7197082,0.007579167,35.16241979598999
14000,101.0,0.45822677,1.0965791e-05,0.45878056,0.049606144,4.5816083,1.7165976,0.004050487,35.38993716239929
14100,101.0,0.45865145,9.5504125e-05,0.46347442,0.055027865,4.578572,1.714797,0.011070673,35.625938177108765
14200,101.0,0.45811006,1.9791576e-05,0.45910954,0.048213936,4.579882,1.715574,0.0035983485,35.85991287231445
14300,101.0,0.45782253,2.5697864e-05,0.45912027,0.046605956,4.5812964,1.7164125,0.0044703158,36.08093285560608
14400,101.0,0.45790362,8.8779325e-06,0.45835197,0.05358467,4.5761437,1.7133574,0.008088664,36.31994557380676
14500,101.0,0.4577468,1.32056175e-05,0.4584137,0.049451917,4.5765867,1.71362,0.0034150884,36.55993366241455
14600,101.0,0.45776066,3.313837e-05,0.45943415,0.05418105,4.5731316,1.7115715,0.007790948,36.78993034362793
14700,101.0,0.45782286,7.214585e-05,0.46146622,0.055072118,4.5715666,1.7106435,0.008570188,37.01997756958008
14800,101.0,0.45758453,3.8662278e-05,0.45953697,0.05087826,4.573233,1.7116315,0.0033895334,37.27996349334717
14900,101.0,0.45727596,1.3672142e-05,0.4579664,0.051746264,4.5712476,1.7104542,0.003665584,37.51350736618042
15000,101.0,0.45697805,1.7486489e-05,0.45786113,0.050290603,4.5709543,1.7102804,0.0029845005,37.73996305465698
15100,101.0,0.4570085,8.511452e-06,0.45743835,0.051087722,4.5694475,1.7093871,0.0029924063,37.970155239105225
15200,101.0,0.45703608,2.2440774e-05,0.45816934,0.053369496,4.567964,1.7085073,0.004833167,38.21995949745178
15300,101.0,0.45664558,1.6600225e-05,0.4574839,0.050274793,4.56836,1.7087421,0.003993739,38.466979026794434
15400,101.0,0.4567363,1.0961374e-05,0.45728984,0.05171661,4.567107,1.7079992,0.0031542282,38.70003056526184
