iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
5900,10001,1.482235,6.25E-06,1.5134991,0.080107786,14.81689,0.027267098,0.001714203,18.64995909
6000,10001,1.4817826,5.07E-06,1.5071542,0.079441644,14.814648,0.027111769,0.001547446,18.94169354
6100,10001,1.4805754,4.24E-05,1.6927286,0.086245365,14.83485,0.028512359,0.005309312,19.21223283
6200,10001,1.4820915,3.92E-06,1.501669,0.080723226,14.820065,0.027487278,0.001696922,19.51608443
6300,10001,1.4818777,4.01E-06,1.5019444,0.07836423,14.813682,0.027044773,0.002358259,19.78004742
6400,10001,1.4815077,4.87E-06,1.5058849,0.07781413,14.810627,0.026832938,0.002058326,20.09013486
6500,10001,1.4816335,1.08E-05,1.53549,0.075060226,14.801526,0.026201963,0.003927234,20.36007905
6600,10001,1.481556,5.75E-06,1.510331,0.07698199,14.8070545,0.026585221,0.001925508,20.6697669
6700,10001,1.4809698,3.95E-06,1.5007071,0.076943554,14.8072605,0.026599526,0.001522905,20.94972181
6800,10001,1.4792736,3.76E-05,1.6672429,0.08052503,14.817324,0.027297258,0.004300031,21.24991536
6900,10001,1.480481,4.15E-06,1.5012448,0.07692582,14.806932,0.026576757,0.00158944,21.53966379
7000,10001,1.4799116,6.21E-06,1.5109867,0.07665707,14.806297,0.02653277,0.001861275,21.81979489
7100,10001,1.479792,7.85E-06,1.5190395,0.07702429,14.807399,0.026609182,0.001818657,22.13099527
7200,10001,1.479996,4.27E-06,1.5013303,0.07583734,14.803972,0.026371598,0.00151766,22.40993142
7300,10001,1.4801568,5.20E-06,1.5061535,0.073167846,14.794701,0.025728822,0.001941481,22.7099843
7400,10001,1.4799709,4.61E-06,1.5030156,0.07527258,14.801529,0.026202202,0.001427678,23.00001264
7500,10001,1.4798063,3.60E-06,1.497815,0.07454512,14.798915,0.026020885,0.001417895,23.27981567
7600,10001,1.4795278,4.43E-06,1.5016924,0.07401266,14.797177,0.025900483,0.001631791,23.58985257
7700,10001,1.4790858,3.48E-06,1.4964839,0.07331801,14.793883,0.025672078,0.001556498,23.8699348
7800,10001,1.4792345,3.37E-06,1.496104,0.07247866,14.79136,0.025497198,0.001315993,24.18971443
7900,10001,1.4790307,3.51E-06,1.4965729,0.0723391,14.79071,0.025452137,0.001499018,24.47696853
8000,10001,1.480758,6.65E-05,1.813129,0.0630183,14.760703,0.023371696,0.009911835,24.78009748
8100,10001,1.4787601,4.58E-06,1.5016421,0.06908664,14.780049,0.02471292,0.002267683,25.05155063
8200,10001,1.4798778,3.23E-05,1.6415368,0.06665919,14.771988,0.024154067,0.005111862,25.36975002
8300,10001,1.4777755,4.83E-06,1.5019459,0.07076253,14.784479,0.025020123,0.002053102,25.65010524
8400,10001,1.4771551,1.10E-05,1.5319856,0.0696855,14.780809,0.02476573,0.003155112,25.96012306
