iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
0,1.0,1.6627953,77.35867,40.342133,1.5301739,1.6580048,0.055518627,8.630136,1.3001964092254639
100,101.0,2.095798,27.01441,1366.3235,3.08002,2.1215065,0.35059297,5.186031,1.7590692043304443
200,101.0,20.927105,0.06537529,24.228558,3.38797,20.890772,12.299479,0.24851595,2.0225987434387207
300,101.0,19.399117,0.001566839,19.478241,3.4694235,19.389051,11.343453,0.03953224,2.2800040245056152
400,101.0,18.982508,0.0016554222,19.066107,3.5601168,18.98022,11.083183,0.039948925,2.5315804481506348
500,101.0,18.604095,0.0015822646,18.684,3.6392097,18.603283,10.843218,0.03768372,2.7600314617156982
600,101.0,18.229586,0.00135369,18.297947,3.7242708,18.225615,10.602786,0.036881417,2.9920096397399902
700,101.0,17.85611,0.001326405,17.923094,3.8077452,17.851849,10.36484,0.036735985,3.2199769020080566
800,101.0,17.47301,0.0013081802,17.539072,3.8941216,17.475988,10.12556,0.034792423,3.4500460624694824
900,101.0,17.101284,0.0009722429,17.150383,3.985885,17.084051,9.876044,0.035332505,3.6701853275299072
1000,101.0,0.1666191,0.0013622384,0.23541215,4.0565834,16.760687,9.670184,0.035651065,3.905205011367798
1100,101.0,0.16744259,8.065036e-07,0.16748331,4.0917315,16.748932,9.662701,0.003704541,4.143528461456299
1200,101.0,0.16752352,3.4510387e-05,0.1692663,4.098185,16.729183,9.650128,0.0051905294,4.389864206314087
1300,101.0,0.16730618,9.154631e-08,0.1673108,4.0965595,16.728193,9.649498,0.0009729778,4.6301329135894775
1400,101.0,0.16728552,2.9008476e-09,0.16728567,4.093851,16.73449,9.653506,0.0027383734,4.870055913925171
1500,101.0,0.16727181,6.664849e-06,0.16760838,4.096029,16.72705,9.648771,0.0023903677,5.1000025272369385
1600,101.0,0.16721217,6.262086e-07,0.1672438,4.0969896,16.723288,9.646376,0.0021243396,5.340202569961548
1700,101.0,0.16693516,4.170245e-05,0.16904113,4.102202,16.708153,9.63674,0.0013498768,5.57021164894104
1800,101.0,0.16690977,2.603073e-05,0.16822432,4.100546,16.711235,9.638702,0.0039875377,5.800055742263794
1900,101.0,0.16690332,1.67608e-06,0.16698796,4.1063046,16.694283,9.62791,0.00040471257,6.051699638366699
2000,101.0,0.16687672,5.9905653e-07,0.16690697,4.108857,16.686127,9.622718,0.0011606578,6.290870428085327
2100,101.0,0.16671474,1.3856301e-05,0.16741449,4.1106467,16.67461,9.615386,0.0025141009,6.530011415481567
2200,101.0,0.16681638,9.650279e-06,0.16730373,4.112474,16.666792,9.610409,0.00390364,6.769913911819458
2300,101.0,0.16634427,0.00024084744,0.17850706,4.1086063,16.674526,9.615333,0.005337133,7.019716501235962
2400,101.0,0.16640393,4.2205877e-05,0.16853534,4.113231,16.658524,9.605145,0.0027403242,7.250369071960449
2500,101.0,0.1665602,2.686939e-05,0.1679171,4.119395,16.635723,9.59063,0.0033781533,7.481919050216675
2600,101.0,0.16634929,3.5983883e-06,0.16653101,4.118138,16.64098,9.593976,0.0016122416,7.7098236083984375
2700,101.0,0.16651353,0.000114626775,0.17230219,4.128553,16.605913,9.571652,0.011608192,7.941451549530029
2800,101.0,0.16615935,1.7071166e-05,0.16702144,4.1178164,16.631302,9.587815,0.004866878,8.179991960525513
2900,101.0,0.16603117,1.966607e-05,0.1670243,4.121935,16.618378,9.579588,0.0037501352,8.419757604598999
3000,101.0,0.16618435,4.5863027e-05,0.16850044,4.127444,16.602278,9.569338,0.0005273525,8.67737889289856
3100,101.0,0.16558848,0.00014775408,0.17305006,4.12382,16.605854,9.571614,0.009251996,8.92765474319458
3200,101.0,0.16590188,5.4024936e-06,0.16617471,4.1346846,16.573524,9.551033,0.0047451444,9.182004451751709
3300,101.0,0.16566749,2.530829e-06,0.1657953,4.133386,16.572119,9.550138,0.0016347755,9.420026302337646
3400,101.0,0.16552049,1.7326249e-05,0.16639547,4.134785,16.565598,9.545986,0.0033611977,9.669765710830688
3500,101.0,0.1653537,5.1371295e-05,0.16794795,4.133405,16.567114,9.546952,0.0074966196,9.909790277481079
3600,101.0,0.16544941,3.8724404e-05,0.167405,4.14753,16.517258,9.515213,0.006107595,10.150068521499634
